@Machine id
@Number of Cores
@Power monitor
@Power GPU
@set of supported CPU speed
@set of power consumption associed to each supported CPU speed
@set of state transition supported
@set of latency associed to each state transition supported
@set of power consumption associed to each state transition supported 

V5-linux61	2	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
linux60	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V2-linux60	2	0	0	1862000|1596000	65|55.71	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.71|3.33|0.7
V4-linux60	1	0	0	2800000	95	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|60|3.33|0.7
V4-linux187	4	0	0	3000000|2000000	120|80	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V4-linux182	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
linux68	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
V3-linux68	2	0	0	2200000	65	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|50|3.33|0.7
V2-linux234	1	0	0	2200000	65	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|50|3.33|0.7
linux237	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
V2-linux237	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
linux236	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
V2-linux233	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
V2-linux232	1	0	0	3000000	120	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
linux239	4	0	0	3000000|2000000	120|80	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|80|3.33|0.7
linux238	2	0	0	1800000|1200000	65|43.33	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|43.33|3.33|0.7
V2-linux238	2	0	0	1800000|1200000	65|43.33	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|43.33|3.33|0.7
V5-linux238	2	0	0	2200000|1600000|1200000	65|47.27|35.45	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|35.45|3.33|0.7
linux74	2	0	0	2333000|1998000	65|55.67	user|grid|idle|standby|hibernate	0|0|0|2.5|55	0|0|55.67|3.33|0.7
