MachineName Time Duracao
VOYAGER-2K	1062607495	905
DUSTINS-PC	1062607535	865
VNANDIGAM-PC	1062607540	860
NESTLE-2K	1062607552	848
KASHA2-PC	1062607597	803
LPW12	1062607597	803
RAGHU-PC	1062607597	803
IBSPC1	1062607602	798
LPW26	1062607604	796
MARCIANO-2K	1062607610	790
MOORE1-PC	1062607613	787
DMITRY-2K	1062607623	777
WINWIZZA	1062607718	682
MAXIMUS-PC	1062607779	621
DAN	1062607781	619
STEWART-2K	1062607808	592
GREENACRES	1062607832	568
SLAWEK-2K	1062607835	565
JKEPLING-2K	1062607837	563
ABLATECKY-PC	1062607893	507
JAN-PC	1062607893	507
MORAN-PC	1062607899	501
ALI-2K	1062607932	468
WISHBONE-2K	1062607943	457
STARSCREAM	1062607944	456
LINDA-PC	1062607946	454
AMAER-PC	1062607948	452
SUTTON-PC	1062607951	449
BLUESCREEN	1062607954	446
STECKLER2-PC	1062607957	443
SEKAR-2K	1062608010	390
LPW7	1062608016	384
PUD-2K	1062608035	365
MWAN-2K	1062608050	350
BLATECKY-ADMIN	1062608067	333
GRIBSKOV-PC	1062608069	331
CYLEE-2K	1062608070	330
462-PC	1062608078	322
CCWONG-PC	1062608193	207
SHANKAR4-PC	1062608195	205
HJASSO	1062608204	196
PHLEBOTOMIST	1062608314	86
IRENE-PC	1062608318	82
SHERWIN-2K	1062608318	82
ENS-GUEST-PC	1062608321	79
CSMITH-PC	1062608326	74
MAFALDA	1062608363	37
AUDITORIUM-PC	1062608370	30
CSHEN-2K	1062608373	27
JAEGER-PC	1062608373	27
LDOLAN-2K	1062608378	22
KATE-2K	1062608380	20
FBADMIN-PC	1062608400	399
HAWK-PC	1062608400	519
BWEST-PC2	1062608400	617
KASHA2-PC	1062608400	1469
VNANDIGAM-PC	1062608400	1517
KATE-2K	1062608400	1758
NING-PC	1062608400	1758
WINWIZZA	1062608400	1759
LEAH-2K	1062608400	1870
BLATECKY-ADMIN	1062608400	1937
CHRISMAN-2K	1062608400	1958
CHIMCHIM	1062608400	2010
LPW11	1062608400	2189
DONATE1-PC	1062608400	2284
TAMMYB-PC	1062608400	2477
CSHEN-2K	1062608400	2831
ANNALISA-PC	1062608400	2910
IRENE-PC	1062608400	3270
LPW14	1062608400	3438
STEWART-2K	1062608400	8632
AMOREIRA-PC	1062608400	17224
ALI-2K	1062608400	28800
HAWK4-PC	1062608400	28800
KILDA	1062608400	28800
KSTOCKS2-PC	1062608400	28800
LPW22	1062608400	28800
OUYAR	1062608400	28800
GENOME-2K	1062609541	900
NOT-PC	1062609845	5170
GENOME-2K	1062610573	900
JAN-PC	1062610573	900
SINCOVIT-2K	1062610573	6549
WINWIZZA	1062610573	15029
NING-PC	1062610574	900
BLATECKY-ADMIN	1062610576	900
CHIMCHIM	1062610576	7566
LEAH-2K	1062610581	26619
JCZECH-2K	1062610755	12770
BIGBEAR-2K	1062610950	900
RITKE-PC	1062611167	900
MWAN-2K	1062611476	900
ANNALISA-PC	1062611502	25698
LDOLAN-2K	1062612129	900
IRENE-PC	1062612311	4952
KG	1062612401	2755
BIGBERTHA	1062612401	2756
BENDER	1062612404	2753
REALVIDEO-2K	1062612411	2783
LPW16	1062612412	2784
LPW24	1062612413	1275
SHINDYALOV-2K	1062612444	900
VOYAGER-2K	1062612449	900
AKZO	1062612483	900
CCWONG-PC	1062612522	900
CUTCHIN2-PC	1062612522	900
DONBOT	1062612522	900
FLEXO	1062612523	900
BEHERE-2K	1062612525	900
KAMRATHA-PC	1062612525	900
SHANKAR3-PC	1062612525	900
ANDREWS-PC	1062612528	900
LPW21	1062612528	900
MINIME	1062612532	900
LPW7	1062612533	900
PUBLIC-PC	1062612533	900
T-SOL	1062612539	900
RITKE-PC	1062612563	900
IBSPC1	1062612590	900
BLUESCREEN	1062612598	900
HJASSO	1062612598	901
ENS-GUEST-PC	1062612600	900
LAWRENCE-2K	1062612601	900
SCHUI-PC	1062612610	900
T-BESSEL	1062612613	900
LINDA-PC	1062612701	989
BORG-2K	1062612702	1331
SMALESSI-2K	1062612746	900
T-ALTAIR	1062612767	900
T-WOLF	1062612767	900
KANGA	1062612770	900
OPS-PC	1062612771	900
ALTINTAS-2K	1062612772	900
T-ERIDAN	1062612773	900
T-SIRIUS	1062612774	900
T-ROSS	1062612775	901
T-DRAGO	1062612776	900
T-PISCSIS	1062612777	900
T-VIRGO	1062612777	900
SHANKAR-3-2K	1062612779	2780
T-KENT	1062612785	900
T-INDI	1062612788	900
MAXIMUS-PC	1062612821	900
AUDITORIUM-PC	1062612821	1870
LCARLSON-PC	1062612821	1883
CSMITH-PC	1062612822	900
HAWK1-PC	1062612822	900
PROWLER-PC	1062612822	900
SHANKAR4-PC	1062612822	900
DZHOU-PC	1062612822	1882
ABLATECKY-PC	1062612822	1914
DUSTINS-PC	1062612823	900
STOCKS-PC	1062612823	900
MBANTON-PC	1062612823	1880
CLARA	1062612823	1919
BERMAN-PC	1062612824	900
CRB-CONF-PC	1062612824	900
OJHA-PC	1062612824	900
SAUNDERS-PC	1062612824	1879
PHLEBOTOMIST	1062612825	900
SLAWEK-2K	1062612825	900
SHERWIN-2K	1062612825	1868
TRACTOR-2K	1062612825	1911
RAGHU-PC	1062612825	1913
408-PC	1062612826	900
GREENACRES	1062612826	900
LPW12	1062612826	900
DING-2K	1062612826	1912
GRIBSKOV-PC	1062612826	1912
SLYON-2K	1062612826	1912
YOHAN-PC	1062612826	1918
JOLAN-2K	1062612826	1919
DESHPANDE-PC	1062612827	900
MNAIR-PC	1062612827	1911
FLERI-PC	1062612828	900
T-LEO	1062612828	1881
SUTTON-PC	1062612829	1911
MOORE1-PC	1062612830	1907
BOWERS-PC	1062612831	1906
T-KRUGER	1062612832	1882
AKIRA	1062612833	1869
T-CYGNUS	1062612834	1883
JAEGER-PC	1062612834	2165
IGOR-PC	1062612835	1867
T-CETI	1062612836	1882
LPW25	1062612838	1869
LAGRANGE-2K	1062612838	1870
PRUDENCE	1062612840	1858
LPW26	1062612841	1857
T-CANCER	1062612848	900
SEKAR-2K	1062612852	900
MWAN-2K	1062612874	900
462-PC	1062612890	900
APOLLO-2K	1062612894	900
GUPTA-PC	1062612961	1859
CENON-2K	1062612982	900
VISPC-6	1062613057	900
CHANDA-2K	1062613103	900
KWON-2K	1062613117	901
LN1	1062613124	900
HAWK3-PC	1062613132	900
CRB158A-1	1062613139	900
TAMMYB-PC	1062613146	921
SIMAST-2K	1062613259	900
377-PC	1062613300	1823
